date,value,description,entryType,category,tags,metadata_json
2017-10-12,3485.00,"Financiamento Imóvel SAC Parcela 22/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":22,""interest_paid"":1485}"
2017-10-18,3000.00,"Aporte Fundo Offshore Swissquote 10/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-10-14,290.00,"Abastecimento Posto Shell CAR01 (49600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":49600}"
2017-10-27,315.00,"Abastecimento Posto Ipiranga CAR01 (50500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":50500}"
2017-11-05,58000.00,"Faturamento PME Mensal 11/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-11-08,6900.00,"Folha Pro-Labore Administrador 11/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-11-12,3470.00,"Financiamento Imóvel SAC Parcela 23/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":23,""interest_paid"":1470}"
2017-11-18,3000.00,"Aporte Fundo Offshore Swissquote 11/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-11-14,295.00,"Abastecimento Posto Shell CAR01 (51350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":51350}"
2017-11-27,321.00,"Abastecimento Posto Ipiranga CAR01 (52250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":52250}"
2017-12-05,53000.00,"Faturamento PME Mensal 12/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-12-08,6900.00,"Folha Pro-Labore Administrador 12/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-12-12,3455.00,"Financiamento Imóvel SAC Parcela 24/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":24,""interest_paid"":1455}"
2017-12-18,3000.00,"Aporte Fundo Offshore Swissquote 12/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-12-14,300.00,"Abastecimento Posto Shell CAR01 (53100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":53100}"
2017-12-27,327.00,"Abastecimento Posto Ipiranga CAR01 (54000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":54000}"
2017-12-22,3900.00,"Depósito Judicial Trabalhista (ADC 58) Q4/2017",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2016-04-10"",""data_vencimento"":""2017-01-15""}"
2018-01-05,63500.00,"Faturamento PME Mensal 1/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-01-08,7800.00,"Folha Pro-Labore Administrador 1/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-01-12,3440.00,"Financiamento Imóvel SAC Parcela 25/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":25,""interest_paid"":1440}"
2018-01-18,3500.00,"Aporte Fundo Offshore Swissquote 1/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-01-14,245.00,"Abastecimento Posto Shell CAR01 (54850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":54850}"
2018-01-27,261.00,"Abastecimento Posto Ipiranga CAR01 (55750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":55750}"
2018-02-05,66000.00,"Faturamento PME Mensal 2/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-02-08,7800.00,"Folha Pro-Labore Administrador 2/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-02-12,3425.00,"Financiamento Imóvel SAC Parcela 26/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":26,""interest_paid"":1425}"
2018-02-18,3500.00,"Aporte Fundo Offshore Swissquote 2/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-02-14,250.00,"Abastecimento Posto Shell CAR01 (56600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":56600}"
2018-02-27,267.00,"Abastecimento Posto Ipiranga CAR01 (57500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":57500}"
2018-03-05,61000.00,"Faturamento PME Mensal 3/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-03-08,7800.00,"Folha Pro-Labore Administrador 3/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-03-12,3410.00,"Financiamento Imóvel SAC Parcela 27/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":27,""interest_paid"":1410}"
2018-03-18,3500.00,"Aporte Fundo Offshore Swissquote 3/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-03-14,255.00,"Abastecimento Posto Shell CAR01 (58350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":58350}"
2018-03-27,273.00,"Abastecimento Posto Ipiranga CAR01 (59250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":59250}"
2018-03-22,4300.00,"Depósito Judicial Trabalhista (ADC 58) Q1/2018",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2017-04-10"",""data_vencimento"":""2018-01-15""}"
2018-04-05,63500.00,"Faturamento PME Mensal 4/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-04-08,7800.00,"Folha Pro-Labore Administrador 4/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-04-12,3395.00,"Financiamento Imóvel SAC Parcela 28/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":28,""interest_paid"":1395}"
2018-04-18,3500.00,"Aporte Fundo Offshore Swissquote 4/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-04-14,260.00,"Abastecimento Posto Shell CAR01 (60100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":60100}"
2018-04-27,279.00,"Abastecimento Posto Ipiranga CAR01 (61000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":61000}"
2018-05-05,66000.00,"Faturamento PME Mensal 5/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-05-08,7800.00,"Folha Pro-Labore Administrador 5/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-05-12,3380.00,"Financiamento Imóvel SAC Parcela 29/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":29,""interest_paid"":1380}"
2018-05-18,3500.00,"Aporte Fundo Offshore Swissquote 5/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-05-14,265.00,"Abastecimento Posto Shell CAR01 (61850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":61850}"
2018-05-27,285.00,"Abastecimento Posto Ipiranga CAR01 (62750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":62750}"
2018-06-05,61000.00,"Faturamento PME Mensal 6/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-06-08,7800.00,"Folha Pro-Labore Administrador 6/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-06-12,3365.00,"Financiamento Imóvel SAC Parcela 30/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":30,""interest_paid"":1365}"
2018-06-18,3500.00,"Aporte Fundo Offshore Swissquote 6/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-06-14,270.00,"Abastecimento Posto Shell CAR01 (63600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":63600}"
2018-06-27,291.00,"Abastecimento Posto Ipiranga CAR01 (64500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":64500}"
2018-06-22,4300.00,"Depósito Judicial Trabalhista (ADC 58) Q2/2018",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2017-04-10"",""data_vencimento"":""2018-01-15""}"
2018-07-05,63500.00,"Faturamento PME Mensal 7/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-07-08,7800.00,"Folha Pro-Labore Administrador 7/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-07-12,3350.00,"Financiamento Imóvel SAC Parcela 31/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":31,""interest_paid"":1350}"
2018-07-18,3500.00,"Aporte Fundo Offshore Swissquote 7/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-07-14,275.00,"Abastecimento Posto Shell CAR01 (65350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":65350}"
2018-07-27,297.00,"Abastecimento Posto Ipiranga CAR01 (66250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":66250}"
2018-08-05,66000.00,"Faturamento PME Mensal 8/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-08-08,7800.00,"Folha Pro-Labore Administrador 8/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-08-12,3335.00,"Financiamento Imóvel SAC Parcela 32/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":32,""interest_paid"":1335}"
2018-08-18,3500.00,"Aporte Fundo Offshore Swissquote 8/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-08-14,280.00,"Abastecimento Posto Shell CAR01 (67100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":67100}"
2018-08-27,303.00,"Abastecimento Posto Ipiranga CAR01 (68000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":68000}"
2018-09-05,61000.00,"Faturamento PME Mensal 9/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-09-08,7800.00,"Folha Pro-Labore Administrador 9/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-09-12,3320.00,"Financiamento Imóvel SAC Parcela 33/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":33,""interest_paid"":1320}"
2018-09-18,3500.00,"Aporte Fundo Offshore Swissquote 9/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-09-14,285.00,"Abastecimento Posto Shell CAR01 (68850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":68850}"
2018-09-27,309.00,"Abastecimento Posto Ipiranga CAR01 (69750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":69750}"
2018-09-22,4300.00,"Depósito Judicial Trabalhista (ADC 58) Q3/2018",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2017-04-10"",""data_vencimento"":""2018-01-15""}"
2018-10-05,63500.00,"Faturamento PME Mensal 10/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-10-08,7800.00,"Folha Pro-Labore Administrador 10/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":762000}"
2018-10-12,3305.00,"Financiamento Imóvel SAC Parcela 34/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":34,""interest_paid"":1305}"
2018-10-18,3500.00,"Aporte Fundo Offshore Swissquote 10/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-10-14,290.00,"Abastecimento Posto Shell CAR01 (70600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":70600}"
2018-10-27,315.00,"Abastecimento Posto Ipiranga CAR01 (71500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":71500}"
2018-11-05,66000.00,"Faturamento PME Mensal 11/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-11-08,7800.00,"Folha Pro-Labore Administrador 11/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":792000}"
2018-11-12,3290.00,"Financiamento Imóvel SAC Parcela 35/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":35,""interest_paid"":1290}"
2018-11-18,3500.00,"Aporte Fundo Offshore Swissquote 11/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-11-14,295.00,"Abastecimento Posto Shell CAR01 (72350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":72350}"
2018-11-27,321.00,"Abastecimento Posto Ipiranga CAR01 (73250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":73250}"
2018-12-05,61000.00,"Faturamento PME Mensal 12/2018",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-12-08,7800.00,"Folha Pro-Labore Administrador 12/2018",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":104000,""receita_bruta_12"":732000}"
2018-12-12,3275.00,"Financiamento Imóvel SAC Parcela 36/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":36,""interest_paid"":1275}"
2018-12-18,3500.00,"Aporte Fundo Offshore Swissquote 12/2018",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2018-12-14,300.00,"Abastecimento Posto Shell CAR01 (74100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":74100}"
2018-12-27,327.00,"Abastecimento Posto Ipiranga CAR01 (75000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":75000}"
2018-12-22,4300.00,"Depósito Judicial Trabalhista (ADC 58) Q4/2018",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2017-04-10"",""data_vencimento"":""2018-01-15""}"
2019-01-05,71500.00,"Faturamento PME Mensal 1/2019",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":116000,""receita_bruta_12"":858000}"
2019-01-08,8700.00,"Folha Pro-Labore Administrador 1/2019",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":116000,""receita_bruta_12"":858000}"
2019-01-12,3260.00,"Financiamento Imóvel SAC Parcela 37/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":37,""interest_paid"":1260}"
2019-01-18,4000.00,"Aporte Fundo Offshore Swissquote 1/2019",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2019-01-14,245.00,"Abastecimento Posto Shell CAR01 (75850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":75850}"
2019-01-27,261.00,"Abastecimento Posto Ipiranga CAR01 (76750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":76750}"
2019-02-05,74000.00,"Faturamento PME Mensal 2/2019",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":116000,""receita_bruta_12"":888000}"
2019-02-08,8700.00,"Folha Pro-Labore Administrador 2/2019",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":116000,""receita_bruta_12"":888000}"
2019-02-12,3245.00,"Financiamento Imóvel SAC Parcela 38/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":38,""interest_paid"":1245}"
2019-02-18,4000.00,"Aporte Fundo Offshore Swissquote 2/2019",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2019-02-14,250.00,"Abastecimento Posto Shell CAR01 (77600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":77600}"
2019-02-27,267.00,"Abastecimento Posto Ipiranga CAR01 (78500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":78500}"
2019-03-05,69000.00,"Faturamento PME Mensal 3/2019",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":116000,""receita_bruta_12"":828000}"
2019-03-08,8700.00,"Folha Pro-Labore Administrador 3/2019",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":116000,""receita_bruta_12"":828000}"
2019-03-12,3230.00,"Financiamento Imóvel SAC Parcela 39/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":39,""interest_paid"":1230}"
2019-03-18,4000.00,"Aporte Fundo Offshore Swissquote 3/2019",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2019-03-14,255.00,"Abastecimento Posto Shell CAR01 (79350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":79350}"
2019-03-27,273.00,"Abastecimento Posto Ipiranga CAR01 (80250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":80250}"
2019-03-22,4700.00,"Depósito Judicial Trabalhista (ADC 58) Q1/2019",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2018-04-10"",""data_vencimento"":""2019-01-15""}"
2019-04-05,71500.00,"Faturamento PME Mensal 4/2019",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":116000,""receita_bruta_12"":858000}"
2019-04-08,8700.00,"Folha Pro-Labore Administrador 4/2019",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":116000,""receita_bruta_12"":858000}"
2019-04-12,3215.00,"Financiamento Imóvel SAC Parcela 40/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":40,""interest_paid"":1215}"
2019-04-18,4000.00,"Aporte Fundo Offshore Swissquote 4/2019",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2019-04-14,260.00,"Abastecimento Posto Shell CAR01 (81100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":81100}"
2019-04-27,279.00,"Abastecimento Posto Ipiranga CAR01 (82000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":82000}"
2019-05-05,74000.00,"Faturamento PME Mensal 5/2019",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":116000,""receita_bruta_12"":888000}"
2019-05-08,8700.00,"Folha Pro-Labore Administrador 5/2019",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":116000,""receita_bruta_12"":888000}"
2019-05-12,3200.00,"Financiamento Imóvel SAC Parcela 41/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":41,""interest_paid"":1200}"
2019-05-18,4000.00,"Aporte Fundo Offshore Swissquote 5/2019",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2019-05-14,265.00,"Abastecimento Posto Shell CAR01 (82850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":82850}"
2019-05-27,285.00,"Abastecimento Posto Ipiranga CAR01 (83750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":83750}"
2019-06-05,69000.00,"Faturamento PME Mensal 6/2019",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":116000,""receita_bruta_12"":828000}"
2019-06-08,8700.00,"Folha Pro-Labore Administrador 6/2019",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":116000,""receita_bruta_12"":828000}"
2019-06-12,3185.00,"Financiamento Imóvel SAC Parcela 42/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":42,""interest_paid"":1185}"
2019-06-18,4000.00,"Aporte Fundo Offshore Swissquote 6/2019",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2019-06-14,270.00,"Abastecimento Posto Shell CAR01 (84600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":84600}"
2019-06-27,291.00,"Abastecimento Posto Ipiranga CAR01 (85500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":85500}"
2019-06-22,4700.00,"Depósito Judicial Trabalhista (ADC 58) Q2/2019",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2018-04-10"",""data_vencimento"":""2019-01-15""}"
2019-07-05,71500.00,"Faturamento PME Mensal 7/2019",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":116000,""receita_bruta_12"":858000}"
2019-07-08,8700.00,"Folha Pro-Labore Administrador 7/2019",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":116000,""receita_bruta_12"":858000}"
2019-07-12,3170.00,"Financiamento Imóvel SAC Parcela 43/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":43,""interest_paid"":1170}"
2019-07-18,4000.00,"Aporte Fundo Offshore Swissquote 7/2019",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
